,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,PRODUCT_DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care']","['Rheology Modifier', 'Film Former', 'Emulsifier', 'Conditioner']",Polycos A-2500 HV,N/A,Powder,"Polycos A-2500 HV by polygal ag is a versatile, bio-based, non-ionic polymer designed for personal care applications, including skin and hair care. This transparent rheology modifier serves multiple functions such as film forming, emulsion stabilizing, and conditioning, enhancing product texture and skin feel. It exhibits excellent electrolyte tolerance and stability across a wide pH range, making it suitable for hydroalcoholic systems with up to 80% ethanol or 60% isopropanol. The product is an off-white fine powder that dissolves easily in water and polar solvents like glycerin and glycols, allowing cold processing at ambient temperatures. With a recommended use level of 0.2 to 5.0%, it provides reliable viscosity and clarity in formulations. Packaged in 25kg multiwall polytreated paper bags, Polycos A-2500 HV has a shelf life of at least 24 months under proper storage conditions. It complies with EU and Swiss additive regulations, ensuring safety and quality for cosmetic formulations.",0.2 - 5.0 %,(MANUAL_INPUT),['REACH'],TDS Polycos A-2500 HV V4.11.pdf,AAAA,"['Film Forming', 'Conditioning']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
1,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care']","['Conditioner', 'Styling Polymer', 'Active']",Polycos CA-50 ECO,N/A,Powder,"Polycos CA-50 ECO by polygal ag is a biodegradable, cationic conditioning and styling polymer derived from natural guar gum. This light-yellow fine powder is vegan, COSMOS compliant, and produced using a water-saving process technology, making it an eco-friendly choice for personal care formulations. It is cold processable and easily dispersible in water, requiring a pH adjustment between 6.0 and 7.0 for optimal hydration. Suitable for a wide range of hair and body care products, Polycos CA-50 ECO enhances conditioning properties, increases foam volume, and improves the delivery of active ingredients. It is ideal for shampoos, conditioners, shower gels, liquid soaps, mousses, gels, and creams, with recommended use levels ranging from 0.15% to 2.00%. The product is microbiologically safe, with low total plate count and mold limits, and complies with EU and Swiss additive regulations. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months under proper storage conditions.","0.15 - 0.50% for shampoos and conditioners (solid/liquid); 0.20 - 1.00% for shower gels and liquid soaps; 0.30 - 2.00% for mousse, gels, and creams",(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-50 ECO V4.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
2,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Rheology Modifier', 'Skin Sensory Additive', 'Active']",Polycos CA-3000 ECO,N/A,Powder,"Polycos CA-3000 ECO by polygal ag is a high-quality conditioning polymer derived from natural guar gum, designed specifically for personal care formulations. This vegan and COSMOS-compliant ingredient is produced using an eco-friendly, water-saving process, making it an excellent choice for sustainable beauty products. It enhances hair care formulations by improving wet and dry combability, boosting foam, and delivering a silky, smooth feel without causing buildup. Suitable for use in shower gels, body washes, liquid soaps, shampoos, conditioners, and soap bars, Polycos CA-3000 ECO also imparts a soft, pleasant skin feel. The product is a light-yellow fine powder, cold-processable, and disperses easily in water without requiring pH adjustments. It is microbiologically safe and complies with EU and Swiss additive regulations. Packaged in 25 kg multiwall polytreated paper bags, it has a shelf life of at least 24 months under proper storage conditions. Certified Cosmos, Halal, Kosher, and Vegan (in processing), it meets diverse market needs.",0.1 - 1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-3000 ECO V1.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
3,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Rheology Modifier', 'Skin Sensory Additive']",Polycos CA-3001 ECO,N/A,Powder,"Polycos CA-3001 ECO is a premium conditioning polymer derived from natural guar gum, designed specifically for personal care formulations. This vegan and COSMOS-compliant ingredient is produced using an eco-friendly water-saving process, ensuring sustainability without compromising performance. It offers excellent substantivity to hair, significantly improving both wet and dry combability while enhancing foam-boosting properties. The polymer imparts a silky, smooth feel to hair without any build-up and provides a soft, pleasant skin sensation. Polycos CA-3001 ECO is cold-processable and easily dispersible in water, with optimal hydration occurring at a pH range of 6.0 to 7.0. It is ideal for use in a wide range of products including shower gels, body washes, liquid soaps, soap bars, shampoos, and conditioners. Packaged in 25kg multiwall polytreated paper bags, it offers a shelf life of at least 24 months under proper storage conditions. Certified Cosmos, Halal, Kosher, and Vegan, it complies with EU and Swiss additive regulations.",Use level 0.1 - 1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-3001 ECO V3.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
4,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Soap & Bath', 'Skin Care']","['Conditioner', 'Rheology Modifier', 'Skin Sensory Additive']",Polycos CA-3002 ECO,N/A,Powder,"Polycos CA-3002 ECO by polygal ag is a high-performance conditioning polymer derived from natural guar gum, designed for personal care formulations. This vegan and COSMOS-compliant ingredient features a high cationic charge, enhancing wet and dry combability while boosting foam properties. It imparts a silky, smooth feel to hair without buildup and provides a soft skin sensation, making it ideal for use in shower gels, body washes, liquid soaps, soap bars, shampoos, and conditioners. The product appears as a light-yellow fine powder, easily dispersible in water with a pH adjustment between 6.0 and 7.0 to initiate hydration. It offers excellent viscosity control and microbiological safety, with a recommended use level of 0.1 to 1.0%. Packaged in 25kg multiwall polytreated paper bags, Polycos CA-3002 ECO has a shelf life of at least 24 months under proper storage. Certified Cosmos, Halal, Kosher, and Vegan, it complies with EU and Swiss additive regulations, ensuring quality and sustainability in cosmetic formulations.",0.1 - 1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CA-3002 ECO V3.11.pdf,AAAA,"['Conditioning', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']",['Conditioner'],Polycos CAT-1000,N/A,Powder,"Polycos CAT-1000 by polygal ag is a naturally derived conditioning polymer designed to enhance hair and body care formulations. Composed of cationic guar gum (Guar Hydroxypropyltrimonium Chloride), this off-white fine powder dissolves transparently in water, offering high clarity across various surfactant systems. It significantly improves wet combability and provides effective conditioning benefits both when hair is wet and dry. Suitable for use in silicone, silicone-free, and sulphate-free shampoos and body washes, Polycos CAT-1000 is versatile for diverse personal care applications. It is cold processable in ambient water and recommended at use levels between 0.1% and 1.0%. The product meets stringent microbiological standards and complies with EU and Swiss additive regulations. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months under dry, cool, and ventilated storage conditions. Certified Cosmos, Halal, Kosher, and Vegan (in processing), Polycos CAT-1000 ensures quality and safety for modern cosmetic formulations.",Use level 0.1-1.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos CAT-1000 V5.11.pdf,AAAA,['Conditioning'],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
6,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Skin Care', 'Hair Care', 'Sun Care', 'Spa & Wellness']","['Rheology Modifier', 'Texturizer', 'Stabilizer', 'Film Former']",Polycos ECOGUM Sense,N/A,Powder,"Polycos ECOGUM Sense by polygal ag is a 100% natural, non-ionic, biodegradable biopolymer derived from carefully selected carob tree kernels. This high-quality locust bean gum offers excellent thickening, texturizing, stabilizing, and film-forming properties, making it ideal for a wide range of surfactant-free personal care formulations. It provides a luxurious sensory experience with a light, elegant moisturizing texture and outstanding lubricity. The product appears as an off-white fine powder with characteristic odor and is hot processable in water. Recommended usage levels range from 0.5% to 3.0%. ECOGUM Sense complies with EU and Swiss additive regulations and holds certifications including Cosmos, Halal, Kosher, and is in vegan processing. Packaged in 25 kg polytreated paper bags, it has a shelf life of at least 24 months when stored in dry, cool, and ventilated conditions. Users should take precautions against tobacco beetles, a known threat to locust bean gum.",Use level 0.5 - 3.0%,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos ECOGUM Sense V1. 11.pdf,AAAA,"['Film Forming', 'Moisturizing', 'Texturizer', 'Natural Cosmetic', 'COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Vegetal', 'Derived Natural']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Film Former', 'Conditioner', 'Rheology Modifier', 'Texturizer']",Polycos ECOGUM,N/A,Powder,"Polycos ECOGUM by polygal ag is a premium, 100% natural, non-ionic, and biodegradable biopolymer derived from guar gum. This versatile thickening, texturizing, and film-forming agent delivers a smooth, honey-like flow and excellent compatibility with a wide range of surfactant systems. Ideal for both leave-on and rinse-off personal care formulations, it enhances conditioning properties, stabilizes lather in cleansing products, and acts as a natural film former. The off-white to light beige fine powder is cold-processable in water, with recommended pre-dispersion in a polyol. Polycos ECOGUM offers reliable performance with a viscosity of at least 3,800 mPas (1% solution) and maintains microbiological safety with low total plate count and absence of harmful microbes. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of 24 months under dry, cool conditions. Certified Cosmos, Halal, Kosher, and Vegan (in processing), it complies with EU and Swiss additive regulations, ensuring quality and safety for diverse cosmetic applications.",0.1 - 2.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos ECOGUM V1.11.pdf,AAAA,"['Film Forming', 'Conditioning', 'Texturizer', 'Natural Cosmetic', 'Vegan', 'COSMOS Standard']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
8,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,"['Derived Natural', 'Vegetal']","['Hair Care', 'Skin Care', 'Soap & Bath']","['Conditioner', 'Rheology Modifier']",Polycos HCA-501,N/A,Powder,"Polycos HCA-501 by polygal ag is a naturally derived conditioning polymer designed for high clarity across various surfactant systems. This hydroxypropylated cationic guar gum offers excellent conditioning benefits without causing build-up on hair, making it ideal for clear and transparent formulations. It is suitable for a wide range of hair and body care products including shampoos, conditioners, body washes, shower gels, liquid soaps, and skin care formulations. The product appears as an off-white fine powder that becomes transparent in solution and is cold processable in ambient water. It is used at levels between 0.1% and 1.0%. Polycos HCA-501 conditions the skin, leaving a soft, soothing after-feel, enhancing user comfort. Packaged in 25kg multiwall polytreated paper bags, it has a shelf life of at least 24 months when stored in dry, cool, and ventilated conditions. This product complies with EU and Swiss additive regulations, ensuring safety and quality for personal care applications.",Use level 0.1 - 1.0 %,(MANUAL_INPUT),['REACH'],TDS Polycos HCA-501 V6.11.pdf,AAAA,"['Conditioning', 'Moisturizing', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
9,Afghanistan,PCI,Cosmetics & Toiletries,polygal ag,['Vegetal'],"['Hair Care', 'Skin Care', 'Soap & Bath']","['Active', 'Rheology Modifier', 'Skin Sensory Additive', 'Film Former']",Polycos RS,9005-25-8,Powder,"Polycos RS by polygal ag is a high-quality, cost-effective rice starch designed for personal care applications. Derived from physically modified Oryza Sativa (rice) starch, this white fine powder offers excellent oil absorption, making it ideal for thickening and stabilizing emulsions in cosmetic formulations. It is dispersible in cold water and soluble in hot water at 90°C, with a recommended use level of 1.0 to 5.0%. Polycos RS meets stringent quality standards, including low ash content (max 0.5%) and controlled particle size (max 20 µm), ensuring consistent performance. The product is microbiologically safe, with limits on total plate count and molds. Packaged in 20kg multiwall polytreated paper bags, it has a shelf life of at least 60 months when stored in dry, cool, and ventilated conditions. Certified Cosmos, Halal, Kosher, and Vegan (in processing), Polycos RS complies with EU and Swiss additive regulations, making it a reliable choice for personal care product manufacturers.",Use level 1.0 - 5.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'Vegan']",TDS Polycos RS_V1.11.pdf,AAAA,"['COSMOS Standard', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
