,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan (AF),PCI,Cosmetics & Toiletries,"DKSH Marketing Services Spain, S.A.U.",['Mineral'],"['Skin Care', 'Soap & Bath', 'Hair Care', 'Color Care']","['Active', 'Cleanser', 'Exfoliant', 'Dye/Pigment', 'Conditioner', 'Skin Sensory Additive']",Color Clay® CYDONIA,N/A,Powder,,N/A,(MANUAL_INPUT),[],PIM000000425-COLOR CLAY Cydonia Natural TDS.pdf,AAAA,"['Purifying', 'Sebum Control', 'Soothing', 'Skin Barrier Function', 'Skin Repair', 'Antioxidant', 'Anti-Inflammatory']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
1,Afghanistan (AF),PCI,Cosmetics & Toiletries,Colorclay S.L.,"['Mineral', 'Vegetal']","['Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Hair Care', 'Color Care']","['Dye/Pigment', 'Effect Pigment', 'Exfoliant', 'Cleanser', 'Conditioner', 'Rheology Modifier', 'Texturizer', 'Opacifier', 'Skin Sensory Additive', 'Visual Carrier']",Color Clay,N/A,Powder,,N/A,(MANUAL_INPUT),"['COSMOS Standard', 'Natural Cosmetic', 'Organic', 'REACH', 'Vegan']",PIM000000425-COLOR CLAY Natural Brochure.pdf,AAAA,"['Anti-Inflammatory', 'Brightening', 'Conditioning', 'Firming', 'Moisturizing', 'Natural Cosmetic', 'Nourishing', 'Pore Refiner', 'Purifying', 'Skin Barrier Function', 'Skin Renewal', 'Skin Repair', 'Smoothing', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
2,Afghanistan (AF),PCI,Cosmetics & Toiletries,Phenbiox s.r.l.,['Vegetal'],"['Hair Care', 'Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Active', 'Antioxidant', 'Conditioner', 'Cleanser', 'Humectant']",ACTIVE JUICE CAVOLO NERO (KALE),N/A,Liquid,,N/A,(MANUAL_INPUT),"['COSMOS Standard', 'Vegan']",PIM000000671-TDS Active Juice CAVOLO NERO (KALE).pdf,AAAA,"['Antioxidant', 'Organic', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
3,Afghanistan (AF),PCI,Cosmetics & Toiletries,"Sumitomo Seika Chemicals Co., Ltd.",['Synthetic'],"['Antiperspirants & Deodorants', 'Hair Care', 'Skin Care', 'Soap & Bath']","['Rheology Modifier', 'Stabilizer', 'Skin Sensory Additive']",AQUPEC MG N40R,9003-04-7,Powder,,N/A,(MANUAL_INPUT),[],PIM000000677-AQUPEC_MG_N40R_TDS.pdf,AAAA,"['Moisturizing', 'Conditioning', 'Film Forming', 'Smoothing', 'Texturizer', 'Skin Barrier Function', 'Skin Repair', 'Soothing', 'Strengthening']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
4,Afghanistan (AF),PCI,Cosmetics & Toiletries,"Assessa Indústria, Comércio e Exportação Ltda.","['Vegetal', 'Biomolecule/Micro-organisms']","['Skin Care', 'Hair Care', 'Soap & Bath', 'Spa & Wellness']","['Active', 'Co-Emulsifier', 'Emulsifier', 'Skin Sensory Additive', 'Stabilizer']",ACTIMULSI GA 20,N/A,Liquid,,"Moisturizing creams: 1.0 to 2.0%, Moisturizing lotions: 1.5 to 3.0%, Anti-ageing emulsions: 1.5 to 3.0%, Night creams: 1.5 to 3.0%, Serums for the scalp: 1.5 to 3.0%",(MANUAL_INPUT),[],PIM000000948-TDS_Actimulsi GA20_Assessa.pdf,AAAA,"['Anti-Inflammatory', 'Skin Repair', 'Skin Renewal', 'Moisturizing', 'Smoothing', 'Firming', 'Conditioning', 'Natural Cosmetic']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness']","['Exfoliant', 'Texturizer', 'Visual Carrier']",Celluloscrub 200,9004-35-7,Powder,,N/A,(MANUAL_INPUT),"['REACH', 'Kosher', 'HALAL', 'Vegan', 'China Compliant']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['COSMOS Standard', 'Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
6,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Exfoliant', 'Visual Carrier', 'Cleanser', 'Conditioner', 'Texturizer']",Celluloscrub 300,9004-35-7,Bead,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['COSMOS Standard', 'Vegan', 'Organic', 'Natural Cosmetic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness']","['Exfoliant', 'Visual Carrier', 'Skin Sensory Additive']",Celluloscrub 500,9004-35-7,Powder,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'HALAL', 'Kosher', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
8,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness']","['Exfoliant', 'Biocide', 'Cleanser', 'Visual Carrier']",Celluloscrub 1000,9004-35-7,Bead,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
9,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath']","['Exfoliant', 'Stabilizer', 'Visual Carrier']",Celluloscrub XLS,9004-35-7,Powder,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
10,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Hair Care', 'Spa & Wellness']","['Exfoliant', 'Cleanser', 'Visual Carrier']",MICROZEST 25 Celluloscrub,9004-35-7,Micronized Powder,,N/A,(MANUAL_INPUT),"['REACH', 'China Compliant', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['COSMOS Standard', 'Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
11,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Hair Care']","['Exfoliant', 'Visual Carrier']",Celluloscrub GRENN 300,9004-35-7,Powder,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
12,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Exfoliant', 'Visual Carrier']",Celluloscrub GRENN 500,9004-35-7,Powder,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
13,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lessonia,"['Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness']",['Exfoliant'],Celluloscrub GRENN 1000,9004-35-7,Bead,,N/A,(MANUAL_INPUT),"['China Compliant', 'REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Vegan', 'Natural Cosmetic', 'Organic', 'Sustainable Palm Oil', 'COSMOS Standard']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
14,Afghanistan (AF),PCI,Cosmetics & Toiletries,Minasolve,"['Derived Natural', 'Vegetal']","['Skin Care', 'Hair Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Emollient', 'Humectant', 'Solubilizer', 'Preservative', 'Preservative Booster', 'Skin Sensory Additive', 'Solvent', 'Dispersing Agent']",A-Leen 5,5343-92-0,Liquid,,0.5 to 5.0 %,(MANUAL_INPUT),"['COSMOS Standard', 'NATRUE Standard', 'Natural Cosmetic']",PIM000002492-Technical Data Sheet_A-Leen 5_V12_03-20.pdf,AAAA,"['Anti-Microbial', 'Moisturizing', 'Conditioning', 'COSMOS Standard', 'NATRUE Standard', 'Natural Cosmetic', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
15,Afghanistan (AF),PCI,Cosmetics & Toiletries,"DKSH Marketing Services Spain, S.A.U.",['Vegetal'],"['Skin Care', 'Hair Care', 'Soap & Bath', 'Spa & Wellness']","['Active', 'Antioxidant', 'Conditioner', 'Preservative', 'Skin Sensory Additive']",ANGELICA EXTRACT,N/A,Liquid,,1.0% ~ 5.0%,(MANUAL_INPUT),[],PIM000002748-ANGELICA EXTRACT_TDS(Sochibios)_180829.pdf,AAAA,"['Anti-Inflammatory', 'Antioxidant', 'Anti-Microbial']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
16,Afghanistan (AF),PCI,Cosmetics & Toiletries,"Lipotec USA, Inc.","['Biomolecule/Micro-organisms', 'Derived Natural', 'Synthetic', 'Vegetal']","['Skin Care', 'Spa & Wellness', 'Soap & Bath']","['Active', 'Conditioner', 'Preservative', 'Chelating Agent']",ACTIFCOL™ advanced botanical ingredient,N/A,Liquid,,N/A,(MANUAL_INPUT),"['REACH', 'China Compliant', 'Vegan']",PIM000003110-pi-actifcol-en-603113.pdf,AAAA,"['Anti-Aging', 'Firming', 'Skin Renewal', 'Skin Repair', 'Soothing', 'Elasticity', 'Moisturizing', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
