,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan (AF),FBI,Confectionery & Bakery,Muntons,(MANUAL_INPUT),"['Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Confectionery', 'Sauces', 'Sweet Snack']","['Flavour Enhancer', 'Flavouring & Flavour Modulation', 'Colour & Colour Retention Agent', 'Fortification/Nutraceutical', 'Carrier & Bulking Agent']",ACTIMALT LIQUID REGULAR,N/A,Liquid,,N/A,(MANUAL_INPUT),[],PIM000003031-Actimalt Liquid Regular.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),"['General Health', 'Gut health', 'Immune system']",(MUST_INPUT)
1,Afghanistan (AF),FBI,Confectionery & Bakery,"WILD Flavors, Inc.",(MANUAL_INPUT),"['Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Confectionery', 'Desserts & Ice Cream', 'Sauces', 'Seasonings', 'Sweet Snack']","['Flavour Enhancer', 'Flavouring & Flavour Modulation']",FAMB279 N&A BROWN SUGAR TYPE FL,N/A,Powder,,N/A,(MANUAL_INPUT),"['GRAS, FEMAGRAS']",PIM000003047-8. FAMB279 BROWN SUGAR TYPE FL.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
2,Afghanistan (AF),FBI,Beverage & Dairy,SVZ Tomaszow Sp. z o.o.,(MANUAL_INPUT),"['Baby Food', 'Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Confectionery', 'Dairy', 'Desserts & Ice Cream', 'Meat Products', 'Nutraceuticals - Drinks', 'Nutraceuticals - Powders', 'Processed Food', 'Sweet Snack']","['Antioxidant', 'Flavouring & Flavour Modulation', 'Fortification/Nutraceutical', 'Preservative', 'Colour & Colour Retention Agent']","Acerola juice concentrate, clarified R=64-68",N/A,Liquid,,N/A,(MANUAL_INPUT),"['ISO', 'HACCP']",PIM000003729-4. Acerola JC_TH.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),"['Anti-aging, Antioxidant, Anti-Cancer, Anti-Inflammatory', 'Immune system', 'Vitamins and Minerals', 'General Health']",(MUST_INPUT)
3,Afghanistan (AF),FBI,Processed Food & Food Service,DSM Food Specialties B.V.,(MANUAL_INPUT),['Dairy'],"['Food Enzyme', 'Flavour Enhancer']",ACCELERZYME CPG BF,N/A,Liquid,,N/A,(MANUAL_INPUT),"['ISO', 'CODEX, JECFA', 'HALAL, JAKIM, MUI', 'Kosher', 'Vegan']",PIM000003890-ACCELERZYME CPG.pdf,AAAA,"['Bio-Fermentation', 'Natural & Ethically Sourced']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
4,Afghanistan (AF),FBI,Beverage & Dairy,AUSTRIA JUICE GmbH,(MANUAL_INPUT),"['Alcoholic Beverage', 'Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Desserts & Ice Cream', 'Sauces', 'Sweet Snack', 'Processed Food', 'Nutraceuticals - Drinks', 'Nutraceuticals - Syrups']","['Flavouring & Flavour Modulation', 'Sweetener', 'Antioxidant', 'Humectant']",Apple juice concentrate,N/A,Liquid,,N/A,(MANUAL_INPUT),[],PIM000007436-Specification_1101103010101_Apple juice concentrate_Austria Juice Standard - Stock quality - Medium acidity.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan (AF),FBI,Processed Food & Food Service,Exter B.V.,(MANUAL_INPUT),"['Meat Products', 'Processed Food', 'Sauces', 'Seasonings', 'Snacks (Salty)', 'Soup']","['Flavour Enhancer', 'Flavouring & Flavour Modulation']",EXTER 100 - Bouillon,N/A,Liquid,,General recommended dosage level is: 0.50 - 2.00 % by weight of finished product.,(MANUAL_INPUT),"['HALAL, JAKIM, MUI', 'Kosher']",PIM000008862-EXTER 100 TDS 2021.pdf,AAAA,['Meat & Dairy Alternative'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
6,Afghanistan (AF),FBI,Processed Food & Food Service,"INDUSTRIAS ROKO, S.A.",(MANUAL_INPUT),"['Confectionery', 'Dressing', 'Desserts & Ice Cream', 'Bread, Cakes & Pastries, Frozen Dough']",['Stabilizer & Thickener'],ROKOAGAR LS ORGANIC,N/A,Powder,,0.2 - 1.5%,(MANUAL_INPUT),['BIO'],PIM000009406-Rokoagar LS ORGANIC - Food Applications Eng - E01.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan (AF),FBI,Beverage & Dairy,Matrix Flavours & Fragrances Sdn Bhd,(MANUAL_INPUT),"['Beverage', 'Confectionery', 'Bread, Cakes & Pastries, Frozen Dough']",['Flavouring & Flavour Modulation'],APPLE FLAVOUR NPC1917M,N/A,Liquid,,"Confectionery, bakery: 0.1000-0.5000%; Beverage: 0.1000-0.5000%",(MANUAL_INPUT),"['ISO', 'FSSC', 'HACCP', 'HALAL, JAKIM, MUI']",PIM000009441-SPEC APPLE FLAVOUR NPC1917M.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
8,Afghanistan (AF),FBI,Processed Food & Food Service,Naturis,(MANUAL_INPUT),"['Soup', 'Sauces', 'Bread, Cakes & Pastries, Frozen Dough', 'Snacks (Salty)', 'Plant-Based Dairy Alternative', 'Processed Food']","['Dietary Fiber', 'Protein', 'Stabilizer & Thickener', 'Emulsifier']",Pre-gelatinized Organic Chickpeas Flour,N/A,Powder,,N/A,(MANUAL_INPUT),"['BIO', 'HACCP', 'HALAL, JAKIM, MUI', 'Kosher', 'Vegan']",PIM000009983-YU15 rev02 - organic chickpeas flour.pdf,AAAA,"['Meat & Dairy Alternative', 'Natural & Ethically Sourced', 'Sustainable Food Waste Reduction']",(MANUAL_INPUT),(MANUAL_INPUT),"['Diabetes/Blood Sugar Management', 'Gut health', 'General Health', 'Weight Management', 'Sports nutrition', 'Vitamins and Minerals']",(MUST_INPUT)
9,Afghanistan (AF),FBI,Beverage & Dairy,WILD WECREATE,(MANUAL_INPUT),"['Alcoholic Beverage', 'Baby Food', 'Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Breakfast Cereals/Bars', 'Confectionery', 'Dairy', 'Desserts & Ice Cream', 'Fruit & Vegetables', 'Nutraceuticals - Drinks', 'Plant-Based Dairy Alternative', 'Processed Food', 'Sauces', 'Sweet Snack']","['Flavouring & Flavour Modulation', 'Sweetener', 'Flavour Enhancer', 'Colour & Colour Retention Agent', 'Stabilizer & Thickener']",Apple Juice Concentrate,N/A,Liquid,,100% JUICE: 167 kg : 1000 l,(MANUAL_INPUT),"['GMP', 'HACCP']",PIM000021685-Specification Apple JC 35209000710000 20180717.pdf,AAAA,"['Natural & Ethically Sourced', 'Sustainable Food Waste Reduction']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
